device_age_years,battery_health,screen_damage,body_condition,repair_cost,device_value,previous_repairs,warranty_remaining,repair_or_replace
4.9,91,1,1,13309,30066,3,1,0
0.9,92,0,2,18604,27791,0,0,0
2.3,58,0,0,16171,54556,0,1,0
3.5,84,1,2,16093,29856,1,0,1
2.1,67,0,2,22633,55167,0,0,0
2.4,99,0,0,20462,18505,0,0,0
0.7,88,0,0,15383,53532,0,1,0
1.6,63,0,0,24970,38023,2,0,0
3.1,86,1,0,14551,24776,1,0,1
1.9,53,0,2,2536,49482,3,1,0
4.9,91,1,2,5889,25888,3,1,0
1.8,61,1,0,16172,19768,2,0,0
4.6,85,1,1,13727,41522,4,0,1
1.6,63,1,2,4029,10181,3,1,0
2.9,62,0,1,3384,29718,4,0,0
1.3,98,0,1,1502,18689,2,1,0
1.5,62,0,2,23794,54435,3,0,0
3.2,63,1,0,13473,41181,2,1,0
2.6,91,1,1,16270,22141,2,1,0
0.9,96,1,1,14563,18312,2,1,0
0.7,64,0,0,10672,22090,4,1,0
1.2,71,0,1,19043,42341,1,1,0
3.4,93,1,1,16100,55027,3,1,0
1.3,100,1,0,7030,14172,4,1,0
4.6,84,0,2,1209,7216,0,0,1
2.4,90,0,0,8167,51345,1,0,0
2.8,73,0,2,22603,46794,4,1,0
2.7,50,1,0,18555,6096,4,1,1
4.9,51,1,0,8896,12013,0,0,1
1.4,83,1,1,13224,22519,3,0,1
4.8,79,0,2,22421,19801,2,0,1
5.0,91,0,0,19110,31560,3,1,1
2.6,90,0,2,15218,16231,0,1,0
3.4,71,0,2,23684,7788,1,0,1
4.5,80,1,0,6877,9872,2,0,1
4.7,70,0,0,3521,43471,1,1,0
1.8,86,0,2,13577,59699,3,1,0
3.9,58,0,2,4200,53854,2,0,1
2.5,54,1,2,11694,55397,4,1,0
0.6,67,1,1,15150,19951,2,1,0
1.3,87,1,0,9075,55604,4,1,0
3.7,55,1,0,11376,29903,1,1,0
2.1,55,0,1,4349,34146,2,1,0
1.1,61,1,1,4384,41502,4,1,0
0.6,72,0,2,1404,44193,2,1,0
1.8,74,0,2,23456,41669,1,0,0
2.2,58,1,1,3073,22590,3,0,1
1.3,67,1,1,9247,36734,0,1,0
4.7,96,1,2,4505,45414,1,1,0
1.1,50,1,1,15425,45644,3,1,0
2.0,91,0,1,16696,26015,4,0,1
1.9,75,1,1,11678,53160,3,0,0
2.2,100,1,1,20406,12463,4,0,1
5.0,61,0,2,10546,35252,1,1,0
4.2,54,1,2,8930,37722,1,1,0
1.6,59,1,1,20078,9847,3,1,1
2.3,82,1,2,4583,7409,2,0,1
4.0,92,1,0,19455,47401,4,0,1
4.9,93,1,1,1345,57181,3,0,1
0.9,64,0,1,23267,29518,3,1,0
3.1,82,0,1,10680,6609,3,0,1
2.4,55,0,2,12241,14284,2,1,0
2.5,63,1,1,24658,36205,0,1,0
3.6,70,0,1,12241,7928,0,0,1
3.4,93,0,2,19084,20985,4,0,1
1.2,85,1,1,7107,20194,3,0,0
3.4,77,1,0,15731,53325,4,0,1
3.2,74,0,2,24060,19076,1,1,0
4.1,54,0,2,7457,17252,2,1,0
2.6,66,1,2,21031,46884,2,1,0
2.3,57,1,1,23072,35006,4,0,1
3.7,69,0,2,8817,13778,2,0,1
1.9,61,1,2,14704,14264,4,1,1
3.2,86,1,1,19183,17173,3,0,1
1.3,68,0,0,12764,25616,3,0,0
4.8,81,0,0,14406,58425,3,1,0
3.6,76,1,1,8226,15961,0,0,1
1.8,67,0,2,19535,23918,1,1,0
3.8,99,1,2,9778,38476,0,0,0
4.0,73,0,2,14931,33925,4,0,1
1.0,91,0,1,12422,7112,3,1,1
4.4,55,1,0,20265,55831,1,0,1
3.6,95,1,0,7781,45380,1,0,0
4.1,86,1,2,11605,23421,4,0,1
4.9,68,1,2,5442,22520,4,0,1
4.8,100,1,0,9181,23174,1,0,0
1.2,70,0,2,19921,30736,3,0,1
3.3,90,1,1,14200,34621,0,0,0
2.8,67,1,1,4052,36984,2,0,0
3.8,79,1,0,8137,57145,4,1,0
4.9,63,1,1,18934,26159,2,1,0
3.1,86,1,1,4262,49731,0,0,0
3.3,79,0,0,1022,15353,3,1,0
5.0,77,0,2,9979,13645,2,0,1
0.9,73,1,0,13987,29369,1,0,0
3.3,96,0,1,1035,47957,0,0,0
1.5,54,0,2,1304,19823,4,1,0
0.5,71,0,1,3320,50484,1,1,0
1.5,55,0,0,5493,25535,2,1,0
2.2,98,0,2,18383,49376,1,0,0
3.0,89,0,1,14490,28015,1,0,0
3.3,78,0,0,20319,11584,1,0,1
3.8,72,1,1,10075,56844,1,0,0
3.4,65,1,2,17965,6757,2,0,1
3.2,62,1,1,17216,47347,0,0,0
2.2,65,1,2,12832,43923,0,0,0
4.7,58,1,2,16434,32581,2,0,1
4.8,99,0,0,9591,43493,0,0,0
1.5,53,1,2,14879,23775,4,1,1
3.7,55,0,1,17754,10478,2,0,1
4.6,59,1,1,23894,43432,0,1,1
2.5,65,0,0,15856,10650,3,0,1
3.3,53,1,2,1415,53607,1,0,1
3.7,94,0,0,6471,37532,2,1,0
2.2,97,1,2,15068,12736,0,1,0
1.7,54,1,2,15915,42791,0,1,0
2.8,53,1,2,9359,15936,2,0,1
4.0,86,0,0,2443,53547,4,0,0
4.4,50,0,0,5917,35917,2,1,0
1.3,52,1,0,24602,26089,1,1,0
1.9,54,1,0,8313,37901,0,0,0
4.1,52,1,0,11724,35480,2,1,0
0.9,79,0,1,21405,18151,2,1,0
1.6,73,1,0,5933,53002,4,0,0
0.5,76,0,0,11977,40490,2,0,0
0.5,92,1,2,7723,52658,2,0,0
2.9,65,1,1,4048,8925,1,1,0
0.7,64,1,2,20030,29411,3,0,1
0.9,58,1,0,15253,43790,4,0,1
3.5,58,0,1,23961,22104,2,1,1
4.2,70,1,1,7642,22822,1,0,0
1.1,99,0,0,16271,11924,1,1,0
1.9,57,1,0,9683,34616,2,1,0
4.3,55,0,2,8045,24937,4,0,1
4.3,70,0,0,13984,51606,1,1,0
2.8,93,1,1,14251,58745,1,0,0
4.3,85,0,0,4979,35280,0,0,0
0.6,99,0,0,23488,17984,3,1,0
3.3,91,0,2,1714,43411,2,0,0
5.0,62,1,0,2399,11027,2,0,0
4.7,53,0,2,1966,33387,3,1,1
2.2,77,0,1,10170,19071,1,1,0
2.5,59,0,2,22210,45578,4,0,1
1.8,76,1,0,5496,10748,2,1,0
2.4,91,0,2,13533,57570,4,0,0
4.0,72,1,2,19535,56212,3,1,0
2.8,74,1,0,1960,6708,2,0,0
4.5,99,1,0,20136,57995,3,1,0
5.0,60,0,0,18487,48048,1,1,0
4.2,97,0,0,6692,42728,3,1,0
1.3,87,1,2,24050,50719,2,0,0
3.7,86,0,2,6752,17336,3,1,0
2.7,55,0,0,18250,44430,1,0,0
2.7,71,0,0,2951,27331,1,1,0
0.6,87,0,0,13241,39491,2,0,0
3.7,92,1,2,11571,11621,2,1,1
1.1,60,1,2,24172,36929,2,0,1
4.9,94,1,0,13398,48616,4,0,1
1.9,94,1,0,19595,16646,0,1,0
0.6,88,1,2,17258,19476,4,0,1
1.1,97,0,0,21846,27728,2,0,0
4.5,55,1,1,9176,5746,2,0,1
3.6,72,1,0,13646,52213,0,0,0
2.5,76,0,1,18892,37314,3,1,0
2.2,80,0,0,10663,34575,0,0,0
0.6,66,0,0,6272,27400,1,1,0
3.8,85,0,1,24085,43930,4,1,1
0.6,91,0,2,4318,33455,1,0,0
2.0,62,1,2,22646,41314,4,1,1
1.8,65,0,0,6032,30749,4,1,0
0.7,50,1,0,7542,24303,4,1,0
0.9,63,0,2,4784,24124,0,1,0
1.9,75,1,1,22032,48321,2,0,0
2.9,61,1,1,2462,29209,1,1,0
1.7,79,1,0,5952,59858,2,0,0
3.9,92,0,0,20324,48787,2,1,0
1.5,53,1,2,19766,32435,4,1,1
4.5,80,1,0,4941,30873,0,0,0
4.8,78,0,0,2398,18886,1,0,0
2.4,93,1,0,11477,58907,1,1,0
4.6,54,0,1,10050,41461,3,1,0
2.8,50,1,0,19566,32160,1,0,1
3.1,98,0,0,18551,41876,0,1,0
4.5,76,1,1,2227,47912,3,1,0
1.3,75,0,2,13969,44888,3,0,0
4.5,71,0,0,13204,53873,3,1,0
0.6,100,1,1,8469,23372,3,0,0
1.1,97,1,1,7158,22656,3,0,0
2.5,76,1,2,3150,29504,0,0,0
1.9,82,1,0,6693,56151,4,0,0
1.4,62,0,0,12808,7167,3,0,1
3.7,67,1,1,23320,38103,3,0,1
0.6,73,1,2,20230,34235,1,1,0
3.0,72,0,1,1899,54083,0,1,0
2.2,60,0,0,9817,47426,1,0,0
3.4,82,0,2,22213,5583,3,0,1
1.3,50,0,1,14887,44868,2,1,0
4.5,72,1,1,23190,19300,3,1,1
2.8,89,1,2,19397,11705,0,1,0
3.4,88,1,1,3091,49853,0,1,0
2.0,67,1,1,5912,22114,2,0,0
2.8,65,0,2,24635,31482,2,0,0
0.6,81,1,1,2157,32431,3,1,0
3.1,86,0,1,23015,52615,1,1,0
2.1,69,0,2,4198,41585,1,1,0
2.6,97,1,2,23272,57975,4,0,0
4.5,91,0,0,14778,28283,1,1,0
4.0,71,1,1,4859,43375,2,1,0
2.6,90,0,1,23305,17749,4,0,1
2.2,69,1,0,12228,14881,1,0,0
2.3,86,1,0,16977,25734,1,0,0
2.0,61,1,2,9962,8801,0,1,1
1.4,99,0,2,3884,55101,1,1,0
1.1,77,1,1,1152,33116,3,1,0
0.7,62,1,0,1587,26116,4,0,0
3.5,90,0,0,5224,50450,2,1,0
1.0,82,1,0,10529,9278,0,1,0
2.6,83,1,1,17062,50008,1,1,0
2.1,62,0,1,24827,6253,1,0,1
4.9,63,0,2,13012,38071,1,0,0
3.7,100,0,1,20461,46964,2,0,0
5.0,92,0,2,23601,59795,0,0,0
1.0,78,1,0,23998,40866,2,1,0
1.2,94,0,1,21407,32582,0,1,0
3.2,58,1,0,10263,38527,4,0,1
1.0,56,1,0,18142,44911,1,1,0
4.9,72,1,1,7805,15510,0,1,0
3.6,80,1,0,4618,5179,0,0,1
4.3,92,1,0,24709,10903,4,0,1
3.8,66,0,1,2641,24400,2,1,0
0.9,61,0,1,4797,28607,2,1,0
0.9,98,0,0,12715,14069,1,1,0
4.5,89,1,2,6992,11091,2,1,1
1.0,75,1,1,14819,59768,3,1,0
3.4,60,0,0,4398,50624,0,0,0
2.4,87,1,2,21031,49459,3,0,0
2.2,72,0,2,16994,59954,1,1,0
1.0,76,1,0,1405,9150,2,1,0
3.7,93,0,2,15183,27170,4,0,1
3.5,65,1,1,19295,48496,3,0,1
4.5,89,0,0,17247,47165,1,1,0
4.4,54,1,1,2649,20787,2,1,0
2.8,85,1,1,16043,58549,1,0,0
2.5,86,1,0,4889,37666,3,1,0
4.9,97,0,0,19256,31439,3,0,1
3.0,55,1,2,12169,41853,1,1,0
2.1,53,0,1,24483,26756,4,1,1
3.5,95,1,0,12185,11385,1,0,1
2.1,90,1,2,2500,39208,2,0,0
4.5,81,0,2,9332,53661,3,0,1
3.2,62,0,1,24487,19128,3,0,1
2.0,98,1,0,15762,46500,4,0,0
2.6,87,0,1,19128,5284,4,0,1
4.7,87,1,2,24936,56188,1,0,0
4.2,56,1,2,17518,44357,4,1,1
4.5,76,0,1,15838,31074,2,1,0
4.1,58,1,2,23986,50876,4,1,1
3.0,70,0,0,23498,18743,4,1,0
2.1,93,0,2,24276,47604,1,1,0
1.0,72,1,2,14840,42397,3,1,0
4.1,83,0,0,22962,29960,1,0,1
0.8,67,0,1,3032,49786,2,0,0
3.6,68,0,2,4358,7117,2,1,1
3.3,93,0,2,8785,47409,4,1,0
2.8,100,1,2,13699,48548,0,1,0
2.4,100,1,2,7654,8525,0,1,1
3.3,99,1,0,24753,46535,2,0,1
4.8,68,1,0,6694,49738,0,0,0
3.8,57,1,0,5262,33082,2,1,0
1.2,66,0,1,6036,35561,1,0,0
4.7,88,0,2,19765,45344,2,1,0
3.0,54,1,2,17552,19415,1,0,1
1.2,84,1,0,22736,27898,1,0,0
2.0,73,1,0,19393,54326,4,1,0
4.2,91,0,0,8875,48839,2,1,0
4.6,89,0,0,4715,49731,2,1,0
2.2,84,1,0,16951,38873,2,1,0
0.7,91,0,1,6485,38678,0,0,0
4.9,99,0,2,23459,9290,1,0,1
2.4,56,0,2,23480,59312,3,0,1
1.2,79,1,0,6832,10735,0,0,0
4.1,85,0,2,14357,58845,1,1,0
2.2,90,1,1,23062,25735,0,1,0
1.0,50,0,2,12721,43378,0,0,0
4.7,56,1,2,10224,24749,4,0,1
3.9,78,1,1,6122,58878,0,1,0
2.9,58,1,2,23193,24331,1,1,1
4.5,100,1,0,5038,41275,4,0,1
0.7,86,1,2,7883,40882,0,1,0
3.9,96,1,0,6274,32043,4,0,1
1.3,89,1,0,18984,12511,1,0,0
2.6,85,0,1,4217,49019,0,1,0
1.4,87,1,1,4278,28405,1,0,0
1.8,54,0,1,21196,36841,3,1,1
3.5,94,0,2,15034,42149,2,1,0
1.3,70,0,0,12779,51674,3,1,0
1.1,96,1,1,11009,35333,3,1,0
2.7,56,0,2,5587,44755,0,1,0
4.5,62,1,2,1610,46066,0,0,0
4.3,90,0,2,2201,42938,3,0,1
3.0,84,1,2,13861,55803,1,1,0
1.5,99,1,0,14001,35454,4,0,0
2.1,50,0,2,15621,49837,1,0,0
1.2,86,0,2,2324,52972,3,1,0
1.5,81,0,0,2402,22324,2,0,0
3.5,83,1,1,2307,35780,3,0,1
4.9,70,0,2,19960,39168,2,1,0
2.9,61,1,2,17930,29806,2,0,1
1.6,64,1,1,16797,58558,2,1,0
4.5,50,0,1,17860,15853,1,0,1
3.4,63,0,0,22663,15312,2,0,1
1.5,71,0,1,7904,49251,3,1,0
3.2,91,1,0,19792,20969,0,0,1
3.2,58,0,2,9462,14624,0,0,1
4.7,83,1,2,3809,41936,0,1,0
1.5,88,1,1,20688,16178,1,1,0
1.1,87,0,2,6495,48230,4,1,0
3.8,71,1,2,13393,43705,0,0,0
2.2,56,0,0,5900,39256,4,1,0
3.2,61,1,2,4053,44309,0,0,0
2.7,58,0,2,13136,47548,3,1,0
4.4,94,1,0,12485,57579,3,1,0
3.2,97,0,1,8618,13774,2,1,0
4.6,55,1,2,7193,40633,3,1,1
0.5,97,0,2,13288,39245,0,0,0
3.4,94,1,1,14961,28741,0,0,1
3.4,66,1,2,21050,32758,4,1,1
